temperature,pressure,group_index,point_index,comp_H,comp_O,comp_C,comp_N,comp_S,species,observed,predicted,rel_err%,log10P
1931.179825631568,0.4826297826692377,1.2153870614054877e-17,2.7898657545898693e-16,1.029045683687894e-05,4.7092168690109264e-08,0.7749646755189666,0.2250249851731473,1.7588804362229152e-09,N2,0.014168815,0.013689929,3.3798597,-0.3163858816609437
2145.298923296321,0.0001237566250906,5.265326689091086e-14,1.3785582604165753e-12,0.0162535127159909,9.308363497795823e-08,0.973659288996039,0.010084871396432,2.233807903182365e-06,N2,0.014885174,0.015624184,4.964739,-3.9074315425901567
2748.2806976132806,2.0390598913950024e-09,4.093897915033882e-09,1.3435428612065737e-07,0.3927983813835226,0.5711155152742059,0.0001645634508892,0.0357061187723789,0.0002154211190031,N2,0.014917355,0.01558051,4.445525,-8.690570017909762
2960.4984230660157,6.693880656260997e-10,1.3433606556502405e-08,4.65291281638856e-07,8.022595297027071e-08,9.29041650723189e-06,0.923502109783392,0.0764839738085689,4.545765579065047e-06,N2,0.014047639,0.009552809,31.99705,-9.174322034850864
1525.566155314726,15206.21770990103,4.5534682597405655e-24,7.839884481988103e-23,0.0196383549272527,1.2936931192172824e-05,0.557297539144297,0.4229060298278632,0.0001451391693948,N2,0.014292933,0.025060423,75.33436,4.1820212040602325
2679.7306238426813,3.947046287112974e-10,2.1559056590286325e-08,6.373981948432479e-07,1.5591826929479834e-05,0.1282638615074907,0.8239849923955443,0.0331255936921663,0.0146099605778691,N2,0.014768003,0.015023962,1.7332007,-9.403727780592101
2847.4100263536507,0.7729382446425659,1.1698127008479096e-17,3.799348206666906e-16,0.0009372248660511,0.9759105709057132,6.16533729100041e-06,0.021179114525502,0.0019669243654427,N2,0.014688276,0.014567819,0.82008487,-0.11185520347152078
2863.9995855070147,4.0926477013583065e-06,2.2221824207107223e-12,7.458803603429032e-11,0.0365779455196228,3.570105937982742e-05,0.860867859208065,0.0356446415228995,0.0668738526900329,N2,0.013889498,0.012810125,7.7711453,-5.387995638189112
869.3913294631343,1.4247560084665455e-06,2.0219433202642554e-12,1.7776251690656578e-11,0.0139012262089732,0.5377119696809904,0.125027442973908,0.0103575551780183,0.3130018059581099,N2,0.014220625,0.016267737,14.395374,-5.846259502847999
1178.5533899374448,1.496202137392708e-08,2.6100782286909293e-10,3.099467896570479e-09,0.0036852909127443,3.026436096014904e-07,0.9838165204688384,0.0124978845637442,1.4110633483675275e-09,N2,0.013758654,0.011068556,19.552038,-7.82500972918283
2185.6163325521247,3.0069766592408967e-05,2.408454215011037e-13,5.7702548901306076e-12,3.031805883940106e-06,8.025362866194297e-08,3.0656341011280687e-06,0.0227345592562769,0.9772592630501094,N2,0.013761343,0.01325029,3.7136858,-4.521869942967731
2209.528769418551,0.016173440027217,4.5268050759386e-16,1.0939778933518281e-14,0.7508207893887697,0.0007728236573439,0.2251533025067155,0.0232379403282064,1.514411896426312e-05,N2,0.013525164,0.014647065,8.294916,-1.7911975975367456
2204.463761921718,65.77277755842812,1.1105837284113185e-19,2.7348124312128717e-18,5.0995906661589e-05,0.932485224294096,2.2885441363103826e-05,0.0146400278872732,0.052800866470606,N2,0.013638063,0.0134662995,1.2594444,1.8180461823310186
2974.3902039021355,5.7597680385790015,1.7111475207309482e-18,5.618267693066611e-17,0.2131890491837346,0.0037003371648622,0.0654438330800284,0.0133205597058919,0.7043462208654827,N2,0.013066337,0.011825989,9.4927025,0.7604049935632027
794.3077218309164,6.209793321938088e-09,4.4150429087255727e-10,2.913928319758878e-09,0.0053831572142672,9.453649429517156e-06,0.0017740996017172,0.0140903787381031,0.9787429107964828,N2,0.01412265,0.013656597,3.3000422,-8.206922854032037
1631.5076489064545,4.33747110335623e-06,1.298302287713194e-12,2.1447953793021965e-11,0.575270347030554,4.190746725043385e-07,2.352580879636161e-05,0.0149336100142337,0.4097720980717433,N2,0.014384666,0.013015112,9.520934,-5.3627634055024505
2140.1499414809946,8.389563863109195e-08,8.804974535471845e-11,1.996968224645015e-09,3.472297611589221e-06,1.157151177834513e-08,0.7734604093984203,0.013385724998838,0.2131503817336183,N2,0.013011484,0.015030233,15.515131,-7.076260615663349
2221.6493311518,6.337138012600043e-07,1.2100564642777948e-11,2.7589287385533723e-10,0.0090316757875326,1.3729615411010846e-05,0.9550691621615892,0.0134533291352923,0.0224321033001746,N2,0.014521457,0.013710335,5.5856814,-6.198106834541488
2339.9792098450453,5.558421416912299e-05,1.453060898095456e-13,3.574529809314822e-12,0.7363426516988523,0.0121719163171445,0.226066765497588,0.0254175628249212,1.1036614940107802e-06,N2,0.0149307735,0.016315438,9.273895,-4.255048529868554
2331.3150390776286,4721.2785325368395,1.7043729471416133e-21,4.335924777528264e-20,0.8767274116592435,0.0011760958474841,0.11053430799417,0.011561902675991,2.818231111756053e-07,N2,0.013175461,0.01158313,12.085585,3.674059622455303
2655.0366538734447,0.0482176160674043,1.9005884156378295e-16,5.336852271111026e-15,0.9814771154336728,0.0015433282509694,0.0007954119071579,0.015941664848271,0.0002424795599288,N2,0.014408011,0.011801398,18.091412,-1.3167942654302578
